System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM+1.0) rhol rhos viscosity aH2O chisqr
129 500.00 924.15 24.230360 0.9784837227053158 0.971681 -319554.409333 63.605303 10.674951 33.345619 -328.737672 994.689360 -11.078 0.000 2.285726 1.724550 4.945 n/a n/a
130 500.00 919.17 23.724438 0.9791032295910076 0.972525 -313066.154611 62.149486 10.460187 32.603802 -314.970164 971.919661 -11.163 0.000 2.283411 1.725040 4.993 n/a n/a
131 500.00 914.19 23.244090 0.9796926495046778 0.973331 -306904.915780 60.764400 10.255924 31.900098 -302.110720 950.371369 -11.249 0.000 2.281220 1.725746 5.040 n/a n/a
132 500.00 909.21 22.787473 0.9802529429605256 0.974098 -301047.250927 59.444990 10.061422 31.231728 -290.093562 929.958016 -11.336 0.000 2.279147 1.726652 5.086 n/a n/a
133 500.00 904.23 22.352890 0.9807846567139146 0.974828 -295471.569403 58.186604 9.875998 30.596141 -278.862841 910.602245 -11.423 0.000 2.277186 1.727737 5.132 n/a n/a
134 500.00 899.25 21.938769 0.9812878674847814 0.975520 -290157.846369 56.984931 9.699019 29.990974 -268.372314 892.235050 -11.511 0.000 2.275332 1.728978 5.177 n/a n/a
135 500.00 894.26 21.543641 0.9817620759189642 0.976173 -285087.351384 55.835946 9.529896 29.414028 -258.585626 874.795371 -11.600 0.000 2.273582 1.730343 5.222 n/a n/a
136 500.00 889.28 21.166118 0.9822060208102176 0.976785 -280242.374810 54.735852 9.368070 28.863229 -249.477444 858.230120 -11.689 0.000 2.271929 1.731793 5.266 n/a n/a
137 500.00 884.30 20.804874 0.9826173549993577 0.977353 -275605.929704 53.681022 9.213009 28.336599 -241.035981 842.494901 -11.780 0.000 2.270370 1.733278 5.309 n/a n/a
138 500.00 879.32 20.458614 0.9829920627121448 0.977871 -271161.393784 52.667927 9.064199 27.832212 -233.268034 827.555942 -11.871 0.000 2.268900 1.734722 5.353 n/a n/a
139 500.00 874.34 20.126037 0.9833233491259562 0.978328 -266892.028344 51.693036 8.921128 27.348141 -226.209074 813.394491 -11.962 0.000 2.267515 1.736017 5.395 n/a n/a
140 500.00 869.36 19.805782 0.9835993304858834 0.978709 -262780.248070 50.752672 8.783271 26.882374 -219.944817 800.016885 -12.055 0.000 2.266212 1.736992 5.438 n/a n/a
141 500.00 864.38 19.496334 0.9837975695243322 0.978980 -258806.358189 49.842757 8.650072 26.432663 -214.663077 787.479910 -12.149 0.000 2.264983 1.737352 5.480 n/a n/a
142 500.00 859.40 19.195827 0.9838692825645988 0.979073 -254946.018537 48.958280 8.520911 25.996219 -210.805320 775.967732 -12.243 0.000 2.263825 1.736509 5.521 n/a n/a
